생년월일,학과명,성명,영어,논술,상식,총점,평균
1997-08-29,경영학과,김보현,94,72,66,232,77.33333333
1998-06-22,IT융합과,박상윤,100,74,67,241,80.33333333
1999-05-04,중문학과,최수아,64,100,84,248,82.66666667
1995-12-05,영문학과,김연진,89,99,92,280,93.33333333
1997-02-03,화학과,이우신,63,83,69,215,71.66666667
1998-05-02,물리학과,김은정,94,98,89,281,93.66666667
2000-08-06,경영학과,황정아,89,82,98,269,89.66666667
1996-09-07,IT융합과,감정연,98,82,66,246,82
2001-04-03,중문학과,우영순,70,62,90,222,74
1998-12-15,영문학과,이수영,99,87,80,266,88.66666667
1998-07-01,화학과,정재원,94,93,73,260,86.66666667
1997-11-08,물리학과,박진현,70,70,96,236,78.66666667
1997-04-19,경영학과,최미아,88,100,70,258,86
1998-05-05,IT융합과,남소연,84,73,95,252,84
1998-04-22,중문학과,서현미,80,77,100,257,85.66666667
1996-04-03,영문학과,홍가빈,74,93,95,262,87.33333333
1998-06-29,화학과,이경화,89,69,76,234,78
1998-07-15,물리학과,박영실,99,63,99,261,87
2001-07-18,경영학과,나채림,68,84,91,243,81
1997-10-19,IT융합과,한수정,80,79,99,258,86
2002-02-05,중문학과,김문정,74,97,94,265,88.33333333
1998-10-10,영문학과,문경숙,96,87,64,247,82.33333333
1998-07-20,화학과,허희진,71,78,64,213,71
1998-09-25,물리학과,서은영,94,66,72,232,77.33333333
1999-01-30,경영학과,지현아,62,88,98,248,82.66666667
1994-05-21,IT융합과,전현정,93,89,99,281,93.66666667
2001-04-10,중문학과,이재운,89,93,63,245,81.66666667
1998-09-08,영문학과,최희준,84,62,89,235,78.33333333
1998-07-29,화학과,한승규,74,87,72,233,77.66666667
1998-03-26,물리학과,민효선,82,65,88,235,78.33333333
